"No","Judul","Subjudul","Pengarang","Priority","Tahun","Penerbit","Bahasa","Page","TTD"
110,"Ajaran Kristen: Perjalanan dari Kenyataan ke Khayalan",,"Hadhrat Mirza Tahir Ahmad",3,2000,,"ID/Terj",174,"2016/Oktober/Bandung"
111,"Gelas-gelas Kaca","Tribute to Rinto Harahap","IzHarry Agusjaya Moenzir",2,2011,"Gramedia","ID",318,"2016/Oktober/Bandung"
112,"Otto Cornelius Kaligis","A Man With Million Surprises","Teguh Esha, etc",2,2013,"Gramedia","ID",371,"2016/Oktober/Bandung"
192,"Demi Allah dan Demi Indonesia","Suatu Pergulatan tentang Ihwal Kenasranian dan Kebangsaan","Samuel Tumanggor",2,2006,"Satu-satu","ID",229,"2017/September/Bandung"
19,"Manusia Setengah Salmon",,"Raditya Dika",0,2011,"Gagas Media","ID",258,"2013/Bandung"
113,"Silsilah di Kitab Kejadian/Seri 1 Sejarah Penebusan","Dilihat dari Sudut Pandang Penyelenggaraan Sejarah Penebusan","Abraham Park",0,2010,"Yayasan Damai Sejahtera Umat","ID/Terj",277,"2016/Oktober/Bandung"
114,"Orang Batak Kasar?","Membangun Citra dan Karakter, Gunakan 7 Falsafah Batak Merestorasi Jati Diri, Hhubungan Seks, Sosial, Budaya, Demokrasi, Bisnis dan Melibas Dosa, Korupsi dan mafia Hukum","Dajpiter Tambunan",0,2010,"Gramedia","ID",274,"2016/Oktober/Bandung"
177,"#struggles","#Pergumulan-pergumulan, Mengikuti Yesus di Dunia yang Terpusat pada Selfie","Craig Groeschel",0,2016,"Literatur Perkantas Jatim","ID/Terj",250,"2017/Juli/Bandung"
180,"Hidup Mandiri di Hadapan Tuhan","Pedoman Meraih Kadamaian dan Keunggulan Global","Darmawan MM",0,2006,"Penerbit Hikayat Dunia","ID",264,"2017/Juni/Bandung"
194,"Crazy Rich Asians","Kaya Tujuh Turunan","Kevin Kwan",8,2013,"Gramedia","ID/Terj",469,"2017/Desember/Bandung"
195,"China Rich Girlfriend","Kekasih Kaya Raya","Kevin Kwan",8,2015,"Gramedia","ID/Terj",453,"2018/Maret/Bandung"
196,"RIch People Problems","Masalah Orang Kaya","Kevin Kwan",8,2017,"Gramedia","ID/Terj",478,"2018/April/Bandung"
197,"Deep Learning with Python",,"Francois Chollet",8,2018,"Manning Publishing","EN",351,"2018/Februari/Bandung"
198,"Thoughtful Machine Learning with Python","A Test-Driven Approach","Matthew Kirk",8,2017,"O'Reilly","EN",201,"2018/Februari/Bandung"
199,"Deep Learning",,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",9,2016,"MIT Press","EN",775,"2018/Januari/Bandung"
200,"Learning OpenCV 3","Computer Vision with C++ with the OpenCV Library","Adrian Kaehler and Gary Bradski",9,2017,"O'Reilly","EN",990,"2018/Januari/Bandung"
201,"Hadoop The Definitive GUide","Storage and Analysis at Internet Scale","Tom White",9,2009,"O'Reilly","EN",1000,"2018/Januari/Bandung"
202,"Social Physics","How Social Networks Can Make Us Smarter","Alex Pentland",9,2014,"Penguin Books","EN",300,"2019/Januari/BSD"
203,"The Lean Startup","Ketika Inovasi Tanpa Henti menciptakan kesuksesan bisnis secara radikal","Eric Ries",8,2015,"Bentang Pustaka","ID",404,"2019/Januari/BSD"
204,"Falsafah Hidup Jawa","Menggali Mutiara Kebijakan dari Intisari FIlsafat Kejawen","Prof.Dr.Suwardi Endraswara,M.Hum",8,2014,"Cakrawala","ID",303,"2018/Juli/Bandung"
205,"Kosmos",,"Carl Sagan",9,2016,"KPG","ID",454,"2019/Januari/BSD"
206,"Homo Deus","Masa Depan Umat Manusia","Yuval Noah Hariri",9,2018,"Alvabet","ID",527,"2019/Januari/BSD"
207,"Why?","What Makes Us Curious","Mario Livio",9,2017,"Simons & Schuster Paperbacks","EN",252,"2019/Januari/BBW"
208,"Perlawan, Pemberontakan, Kematian","Albert Camus","Albert Camus",9,2017,"Buku Seru","ID",353,"2019/Januari/BBW"
209,"Kastil","Franz Kafka","Franz Kafka",9,2018,"Diva Press","ID",460,"2019/Januari/BBW"
210,"Lahirnya Tragedi","Nietzche","Nietzche",9,2018,"Narasi","ID",218,"2019/Januari/BBW"
211,"Senjakala Berhala dan Anti-Krist","Nietzche","Nietzche",8,2017,"Buku Seru","ID",355,"2019/Januari/BBW"
212,"Spiral Staircase","My Climb out of Darkness","Karen Armstrong",8,2004,"Anchor Books","EN",305,"2019/Januari/BBW"
213,"Metamerfosis","Franz Kafka","Franz Kafka",8,2017,"Narasi","ID",417,"2019/Januari/BBW"
214,"Sejarah dan Budaya",,"Antonio Gramsci",7,2017,"Narasi","ID",334,"2019/Januari/BBW"
215,"On Time","Finding Your Face in a World Addicted to Fast","Catherine Blyth",7,2017,"William Collins","EN",324,"2019/Januari/BBW"
216,"The Assault on Reason","Out Information Ecosystem, From the Age of Print","Al Gore",7,2017,"Penguin Books","EN",336,"2019/Januari/BBW"
217,"Power/Knowledge","Waca Kuasa/Pengetahuan","Michael Foucault",7,2017,"Buku Seru","EN",354,"2019/Januari/BBW"
218,"Behind Every Great Man","The Forgotten Women Behind the World's Famous and Infamous","Marlene Wagman-Geller",8,2015,"Source Books","EN",356,"2019/Januari/BBW"
219,"Uncovering Happines","Overcoming Depression with Mindfullness and Self-Compassion","Elisha Goldstrein",7,2015,"Atria Paperbacks","EN",288,"2019/Januari/BBW"
220,"Glutten Exposed","The Science Behind The Hype and How to Navigate To A Healtyh, Symptom-Free Life","Dr. Peter H.R Green and Rory Jones",7,2016,"4 Estate","EN",352,"2019/Januari/BBW"
221,"Fatih vs Fact","Why Science and Religion are Imcompatible","Jerry A. Coyne",7,2015,"Penguin Books","EN",311,"2019/Januari/BBW"
222,"The Rise and Fall of the Third Chimpanze","How our animal heritage affects the way we live","Jared Diamond",7,1991,"Vintage","EN",360,"2019/Januari/BBW"
223,"Beyond Human Naure","How Culture and Experience Shape the Human Mind","Jesse J. Prinz",8,2012,"Norton","EN",401,"2019/Januari/BBW"
224,"Power, Inc.","The Epic Rivalry Between Big Business and Government and the Reckoning That Lies Ahead","David Rothkopf",7,2012,"FSG","EN",436,"2019/Januari/BBW"
225,"The Ghost in My Brain","How a concussion stole my life and how the new science of my brain plasticity helped me get it back","Clark Elliot, Ph.D",7,2015,"Penguin Books","EN",312,"2019/Januari/BBW"
226,"it Didn't Start with You","How Inherited Family Trauma Shapes who we are and how to end the cycle","Mark Wolynn",8,2016,"Penguin Books","EN",240,"2019/Januari/BBW"
227,"A Brief History of Infinity","The Quest to Think the Unthinkable","Brian Clegg",7,2003,"FSC","EN",255,"2019/Januari/BBW"
