"No","Judul","Subjudul","Pengarang","Priority","Tahun","Penerbit","Bahasa","Page","TTD"
141,"What Your Aren't Seeing","How Using Your Hidden Potential Can Help Your Discover the Leader Within","Patrick Sweeney",8,2015,"McGraw-Hill","EN",288,"2017/April/BSD"
142,"Fizz","Harness The Power of Word of Mouth Marketing To Drive Brand Growth","Ted Wright",8,2015,"McGraw-Hill","EN",221,"2017/April/BSD"
143,"Busy","How to thrive in a World of too much","Tony Crabbe",8,2015,"Piatkus","EN",278,"2017/April/BSD"
144,"The Power of Habit","Why we do what we do and how to change","Charles Duhigg",8,2012,"Random House Books","EN",371,"2017/April/BSD"
145,"Zero To One","Notes on Startups, Or How To Build The Future","Peter Thiel",8,2014,"Penguin Random House","EN",210,"2017/April/BSD"
146,"Free","The Future of Radical Price","Chris Anderson",8,2009,"Hyperion","EN",274,"2017/April/BSD"
147,"Steve Jobs",,"Walter Isaacson",8,2011,"Simon & Schuster Paperbacks","EN",631,"2017/April/BSD"
148,"Berperang demi Tuhan","Fundamentalisme dalam Islam, Kristen, dan Yahudi","Karen Amstrong",8,2001,"Penerbit Mizan","ID/Terj",684,"2017/April/BSD"
149,"Apple vs Google","Perseteruan Korporasi Besar yang Melahirkan Teknologi Digital","Fred Vogelstein",8,2015,"Penerbit Mizan","ID/Terj",367,"2017/April/BSD"
158,"Catatan Pinggir 11","Kumpulan Tulisan Goenawan Mohamad di Majalah Tempo","Goenawan Mohamad",8,2017,"Kompas Gramedia","ID",442,"2017/Desember/Bandung"
165,"Nietzsche","Potret Besar Sang Filsuf","Peter Levine",8,2012,"IRCiSoD","ID/Terj",420,"2017/Januari/Bandung"
173,"Arkeologi Pengetahuan",,"Michel Foucault",8,2012,"IRCiSoD","ID/Terj",435,"2017/Juli/Bandung"
174,"Republik",,"Plato",8,2015,"Penerbit Narasi","ID/Terj",483,"2017/Juli/Bandung"
175,"Machine Learning","A Probabilistic Perspective","Kevin P. Murphy",8,2012,"MIT Press","EN",1067,"2017/Juli/Bandung"
183,"Pohon-Pohon Sesawi","Novel","Y.B Mangunwijaya",8,2012,"KPG","ID",123,"2017/November/Bandung"
189,"Buddha Jilid 1: Kapilawastu",,"Osamu Tezuka",8,2007,"KPG","ID/Terj",400,"2017/Oktober/Bandung"
5,"Sejarah Apa yang Membentuk Gereja","Seri Mari Berpikir","The Navigators",7,2011,"Penerbit Gloria","ID/Terj",321,"2013/April/Bandung"
8,"Einstein","Kehidupan dan Pengaruhnya bagi Dunia","Walter Isaacson",7,2012,"Penerbit Bentang Pustaka (Mizan)","ID/Terj",698,"2013/Bandung"
23,"Filsafat Ilmu","Sebuah Pengantar Populer","Jujun S. Suriasumantri",7,1984,"Pustaka Sinar Harapan","ID",384,"2014/Bandung"
24,"The Search","Bagaimana Google dan Para Pesaingnya mengubah aturan bisnis dan kebudayaan kita","John Battelle",7,2007,"Elex Media Komputindo","ID/Terj",342,"2014/Bandung"
25,"Cerdas Jenaka Cara Nobeils Fisika","Petualangan Hidup Richard P. Feynmann","Richard P. Feynmann",7,2003,"Penerbit Mizan","ID",389,"2014/Bandung"
46,"Intisari Ajaran Kristen","Pengajaran Alkitab Secara Populer","Edward W.A. Koehler",7,2010,"Akademi Lutheran Indonesia","ID/Terj",354,"2014/Februari/Bandung"
49,"The Warren Buffet Portofolio","Membedah keunggulan Stategi Investasi Fokus","Robert C. Hagstrom",7,2010,"daras Book","ID/Terj",258,"2015/Mei/Bandung"
76,"Putri Sirkus dan Lelaki penjual Dongeng",,"Jostein Gaarder",7,2015,"Penerbit Mizan","ID/Terj",259,"2016/Desember/Bandung"
87,"Filsafat Eksistensialisme","Jean-Paul Sartre","A. Setyo Wibowo",7,2011,"Penerbit Kanisius","ID/Terj",227,"2016/November/Bandung"
96,"Sang Burung Biru","Perjalan Inspiratif Blue Bird Group","Alberthiene Endah",7,2012,"Gramedia","ID",355,"2016/Oktober/Bandung"
97,"First They Killed My Father","trauma seorang anak perempuan kamboja dibawah kekejaman rezim Khmer Merah","Loung Ung",7,2000,"Kompas Gramedia","ID/Terj",400,"2016/Oktober/Bandung"
98,"Arus Balik","Sebuah Epos pasca kejayaan Nusantara di awal abad 16","Pramoedya Ananta Toer",7,2002,"Hasta Mitra","ID",760,"2016/Oktober/Bandung"
99,"Etika Jawa","Sebuah Analisis Falsafi tentang Kebijaksanaan Hidup Jawa","Frans Magnis Suseno",7,1993,"GPU","ID",265,"2016/Oktober/Bandung"
100,"Zarahustra","Nietzsche","Nietzsche",7,2016,"Jejak","ID/Terj",410,"2016/Oktober/Bandung"
118,"Herbert Marcuse","Perang Semesta Melawan Kapitalisme Global","Valentinus Saeng, CP.",7,2012,"Gramedia","ID/Terj",347,"2016/September/Bandung"
119,"Berrlanjut ke Penggugahan","Berdasarkan karya Klasik Tsong-kha-pa Risalah Mendetail Jalan Penggugahan Bertahap","Dalai Lama",7,2013,"Grasindo","ID/Terj",244,"2016/September/Bandung"
121,"Berkenalan dengan Eksistensialisme","Fuad Hasan","Pustaka Jaya",7,1992,"Dunia Pustaka","ID",158,"2016Desember/Bandung"
129,"Tajuk-tajuk Mochtar Lubis di Harian Indonesia Raya","Seri 2: Korupsi dan Ekonomi, Pendidikan dan Generasi Muda, Hukum, ABRI","Atmakusumah, ed",7,1997,"Yayasan Obor Indonesia","ID",574,"2017/Agustus/Bandung"
130,"Jurnalisme dan Politik di Indonesia","Biografi Kristis Mochtar Lubis (1992- 2004) sebagai pemimpin redaksi dan pengarang","David T. Hill",7,2011,"Yayasan Pustaka Obor Indonesia","ID",362,"2017/Agustus/Bandung"
131,"Manusia Indonesia","Mochtar Lubis","Mochtar Lubis",7,2016,"Pustaka Obor","ID",140,"2017/Agustus/Bandung"
150,"A Brief Guide to Philosophical Classics","From Plato ti Winnie the Pooh","James M. Russell",7,2015,"Robinson","EN",292,"2017/April/BSD"
151,"The Up Side of Down","Bouncing Back in Business and in Life","Megan McArdle",7,2014,"Head of Zeus","EN",299,"2017/April/BSD"
152,"The First 20 Hours","How to Learn Anything.. Fast","Josh Kaufmann",7,2013,"Portfolio Penguin","EN",268,"2017/April/BSD"
153,"It's Not About The Shark","How to solve unsolvable Problems","David Niven",7,2015,"Icon","EN",230,"2017/April/BSD"
154,"Gratitude and Trust","Six Affirmation That Will Change Your Life","Paul Williams and Tracey Jackson",7,2014,"A Plume Book","En",263,"2017/April/BSD"
159,"Badad Tanah Jawi","Mulai dari Nabi Adam Sampai Runtuhnya Mataram","W. L. Olthof",7,2017,"Penerbit Narasi","ID/Terj",447,"2017/Desember/Bandung"
160,"Catatan Pinggir 12","Kumpulan Tulisan Goenawan Mohamad di Majalah Tempo","Goenawan Mohamad",7,2017,"Kompas Gramedia","ID",437,"2017/Desember/Bandung"
161,"Who Rules The World?","Noam Chomsky","Noam Chomsky",7,2016,"Bentang Pustaka","ID/Terj",398,"2017/Desember/Bandung"
166,"Kapital Buku 1","Seri Buku Ilmiah","Karl Marx",7,2004,"Hasta Mitra","ID/Terj",928,"2017/Januari/Bandung"
167,"Kapital Buku 2","Seri Buku Ilmiah","Karl Marx",7,2004,"Hasta Mitra","ID/Terj",527,"2017/Januari/Bandung"
168,"Kapital Buku 3","Seri Buku Ilmiah","Karl Marx",7,2004,"Hasta Mitra","ID/Terj",954,"2017/Januari/Bandung"
169,"Habis Gelap Terbitlah Terang",,"Armijn Pane",7,1945,"Balai Pustaka","ID",267,"2017/Januari/Bandung"
178,"Matinya Socrates","Plato","Plato",7,2016,"Penerbit Narasi","ID/Terj",108,"2017/Juni/Bandung"
184,"Perawan dalam Cengkeraman Militer","catatan pulau buru","Pramoedya Ananta Toer",7,2001,"KPG","ID",246,"2017/November/Bandung"
185,"Burung-burung Manyar","Sebuah Roman","Y.B Mangunwijaya",7,2014,"Kompas Gramedia","ID",406,"2017/November/Bandung"
186,"Ikan-ikan Hiu, Ido, Homa","Sebuah Novel Sejarah","Y.B Mangunwijaya",7,2015,"Kompas Gramedia","ID",409,"2017/November/Bandung"
187,"The Five People You Meet in Heaven",,"Mitch Albom",7,2005,"GPU","ID/Terj",202,"2017/November/Bandung"
1,"Kamus Inggris Indonesia",,"John M. Echols dan Hassan Shadily",6,2007,"Gramedia",,618,"2012/Bandung"
2,"Kamus Indonesia Inggris",,"John M. Echols dan Hassan Shadily",6,2005,"Gramedia",,660,"2012/Bandung"
26,"Berpikir dan berjiwa besar","The Magic of Thinking Big","David J. Schwartz",6,2007,"Binarupa Aksara","ID",420,"2014/Bandung"
27,"The Swordless Samurai","Pemimpin Legendaris Jepang Abad XVI","Kitami Masao",6,2013,"Pustaka Inspira","ID/Terj",262,"2014/Bandung"
77,"Dunia Sophie","sebuah novel filsafat","Jostein Gaarder",6,2013,"Penerbit Mizan","ID/Terj",798,"2016/Desember/Bandung"
85,"Syair-syair Cinta","Kumpulan Karya-karya Besar Kahlil Gibran","Kahlil Gibran",6,2009,"Penerbit Narasi","ID/Terj",630,"2016/Juni/Bandung"
101,"The Geography of Bliss","Kisah Seorang Penggerutu yang Berkeliling Dunia Mencara Negara Paling Membahagiakan","Eric Weiner",6,2011,"Qanita","ID/Terj",512,"2016/Oktober/Bandung"
102,"Ketika Mozart Kecil Memainkan Jemarinya","Bagaimana Mencetak Genius yang Berbahagia","It Pin Arifin",6,2011,"Gramedia","ID",373,"2016/Oktober/Bandung"
132,"Membaca Sapardi",,"Riris K. Toha, etc, ed",6,2010,"Yayasan Pustaka Obor Indonesia","ID",306,"2017/Agustus/Bandung"
155,"@fileCaknur Banyak Jalan Menuju Tuhan","Buku Kedua: D – 1","Budhy Munawar-Rachman",6,2013,"Penerbit Imania","ID",330,"2017/April/BSD"
162,"Playing to Win","Kebangkitan Terbesar Nitendo dan industri Video Games","Daniel Sloan",6,2011,"Kompas Gramedia","ID/Terj",285,"2017/Desember/Bandung"
163,"Buku-buku Harian Vatikan","Kunjungan ke Belakang Layar, melihat Tokoh, Kekuasaan, dan Politik di Jantung Gereja Katolik","John Thavis",6,2014,"Kompas Gramedia","ID/Terj",466,"2017/Desember/Bandung"
188,"The Coke Machine","Kebenaran Kotor di balik Minuman Ringan Favorit Dunia","Michael Blanding",6,2011,"Kompas Gramedia","ID/Terj",420,"2017/November/Bandung"
190,"Akar","Supernova Episode 2","Dee Lestari",6,2012,"Bentang Pustaka","ID",256,"2017/Oktober/Bandung"
191,"Kesatria, Putri dan Bintang Jatuh","Supernova Episode 1","Dee Lestari",6,2012,"Bentang Pustaka","ID",318,"2017/Oktober/Bandung"
3,"Matematika Universitas","Schaum Easy Outlines","Frank Ayres",5,2006,"Erlangga","ID/Terj",105,"2012/Bandung"
9,"Sorotan Iman","The Spotlight of Faith, Memahami Arti berjalan bersama Allah","Bill Crowder",5,2008,"Discovery House Publishing","ID/Terj",247,"2013/Bandung"
10,"Berdaulat di Udara","Membangun Citra Penerbangan Nasional","Chappy Hakim",5,2010,"Kompas Gramedia","ID",329,"2013/Bandung"
11,"Negara Kuli","Apalagi yang kita punya?","Anif Punto Utomo",5,2004,"Penerbit Republika","ID",204,"2013/Bandung"
12,"Belajar Rangkaian Elektronik Tanpa Guru",,"Dedy Rusmadi",5,2007,"DelFajar","ID",154,"2013/Bandung"
13,"Rangkaian Listrik","Jilid 1, Edisi Keempat","William H. Hyat",5,1990,"Erlangga","ID/Terj",294,"2013/Bandung"
14,"Fuzzy Logic and Control","-","-",5,1993,"Prentice Hall","EN",397,"2013/Bandung"
15,"Pengenalan Elektronik Untuk Pemula",,"J.A Stanley",5,1999,"Pionir Jaya","ID/Terj",176,"2013/Bandung"
16,"Belajar Mikrokontroller Teori dan Aplikasi",,"Agfianto Eko Putra",5,2003,"Gava Media","ID",233,"2013/Bandung"
28,"A Minute of Margin","mengembalikan keseimbangan kepada hidup yang sibuk","Richard A. Swenson",5,2007,"Pionir Jaya","ID/Terj",371,"2014/Bandung"
29,"Pembuktuan atas kebenaran iman kristiani","Investigasi Pribadi seorang Jurnalis atas Bukti tentang Iman Kristiani","Lee Strobel",5,,"Gospel Pres","ID/Terj",360,"2014/Bandung"
78,"Manusia dan Kebudayaan di Indonesia",,"Prof. Dr. Koentjaraningrat",5,2004,"Percetakan Sapdodadi","ID",397,"2016/Desember/Bandung"
103,"Asal Mula Agama-agama Besar didunia",,,5,,"Penjedar","ID/Terj",248,"2016/Oktober/Bandung"
156,"Margaret Thatcer","The Authorized Biography","Charles Moore",5,2013,"Penerbit Bentang Pustaka (Mizan)","ID/Terj",1017,"2017/April/BSD"
164,"Menyembuhkan Luka Perceraian","Chicken Soup for the Soul","Jack Canfield et.all",5,2013,"GPU","ID/Terj",429,"2017/Desember/Bandung"
17,"Mengatasi Rasa Sepi, Frustasi dan Rendah Diri","Seri Psikologi 1","Frank S. Caprio",4,1985,"Mega Media","ID/Terj",131,"2013/Bandung"
20,"Kemenangan Akhir","Hidup dengan jaminan bahwa dunia pada akhirnya akan mendapatkan kebahagiaan","Ellen G. White",4,2011,"Indonesia Publishing House","ID/Terj",607,"2013/Mei/Jakarta"
30,"Delegasi dalam Manajemen Perusahaan","Rahasia Kekuatan Manajer yang Sukses","James M. Jenks, John M. Kelly",4,1991,"Penerbit BPK Gunung Mulia","ID/Terj",256,"2014/Bandung"
31,"Heroes of Freedom and Humanity","Kisah Para Pahlawan Kebebasan dan Kemanusiaan","Tim Narasi",4,2006,"Penerbit Narasi","ID/Terj",167,"2014/Bandung"
32,"The Value Factor","Bagaimana Para Pemimpin Global Menggunakan Informasi untuk Meraih Pertumbuha dan Keuntungan yang Kompetitif","Mark Hurd and Lars Nyberg",4,2005,"Buana Ilmu Popular","ID/Terj",173,"2014/Bandung"
33,"Menanti Cinta","Cinta tak Pernah Membebani, Ia meringankan yang memilikinya","Adam Aksara",4,2014,"Mozaik Publishers","ID",227,"2014/Bandung"
34,"Battling Unbelief","Mengalahkan Dosa dengan Anugerah","John Piper",4,2010,"Pionir Jaya","ID/Terj",187,"2014/Bandung"
35,"The Rise of Modern Communism",,"Massimo Salvadori",4,1952,"Henry Holt and Company","EN",117,"2014/Bandung"
36,"Holocaust","Fakta atau Fiksi?","Stephane Downing",4,2007,"MedPress","ID/Terj",172,"2014/Bandung"
37,"The Sacred Search","Pencarian Pasangan Hidup yang kudus","Gary Thomas",4,2014,"Literatur Perkantas Jatim","ID/Terj",260,"2014/Bandung"
38,"Sukses dan Prestasi","Rahasia Pembaruan Diri","Shaut LS Hutabarat",4,1989,"Mitra Utama","ID/Terj",116,"2014/Bandung"
39,"1001 Cara Membuat Inisiatif Dalam Kerja","Kendalikan Pekerjaan dan Karir Anda Ciptakan Peluang Kesuksesan","Bob Nelson",4,2001,"Prestasi Pustaka","ID/Terj",282,"2014/Bandung"
40,"Between Comitment and Change","Menyingkap Rahasia antara NIAT dan Perubahan Sejati","Hendrik Lim, et.all",4,2007,"Metanoia Publishing","ID",106,"2014/Bandung"
